acc_sap,acc_slm
63211004,63211004
63211005,63211005
63211009,63211009
63283003,63283003
63288001,63288001
63288002,63288002
63288003,63288003
63288004,63288004
63288005,63288005
63511000,63511000
63512000,63512000
63521000,63521000
63522000,63522000
63531000,63531000
63541000,63541000
63542000,63542000
64111001,64111001
64111002,64111002
64111003,64111003
64111004,64111004
64111005,64111005
64111006,64111006
64111007,64111007
64112001,64112001
64112002,64112002
64112003,64112003
64112004,64112004
64113001,64113001
64113002,64113002
64121001,64121001
64121002,64121002
64121003,64121003
64121004,64121004
64121005,64121005
64121006,64121006
64121007,64121007
64121008,64121008
64122001,64122001
64122002,64122002
64122003,64122003
64123001,64123001
64123002,64123002
64124001,64124001
64124002,64124002
64124003,64124003
64131001,64131001
64131002,64131002
64131003,64131003
64131004,64131004
64131005,64131005
64131006,64131006
64131008,64131008
64132001,64132001
64132002,64132002
64133002,64133002
64133003,64133003
64134001,64134001
64134002,64134002
64136001,64136001
64136002,64136002
64136003,64136003
64136004,64136004
64136005,64136005
64141000,64141000
64151000,64151000
64152000,64152000
64153000,64153000
64154000,64154000
64155000,64155000
64156001,64156001
64156002,64156002
64157001,64157001
64170001,64170001
64170002,64170002
64170003,64170003
64170004,64170004
64170005,64170005
64170006,64170006
64170007,64170007
64170008,64170008
64180001,64180001
64180002,64180002
64180003,64180003
64180004,64180004
64180005,64180005
64180006,64180006
64180008,64180008
64180009,64180009
64180010,64180010
64180011,64180011
64180012,64180012
64211001,64211001
64211002,64211002
64211003,64211003
64211004,64211004
64211005,64211005
64211006,64211006
64211007,64211007
64211008,64211008
64212001,64212001
64212002,64212002
64212003,64212003
64212004,64212004
64213001,64213001
64213002,64213002
64213003,64213003
64221001,64221001
64221002,64221002
64221003,64221003
64221004,64221004
64221005,64221005
64221006,64221006
64221007,64221007
64221008,64221008
64222001,64222001
64222002,64222002
64222003,64222003
64223001,64223001
64223002,64223002
64231001,64231001
64231002,64231002
64231003,64231003
64232001,64232001
64232002,64232002
64232003,64232003
64232004,64232004
64233000,64233000
64234000,64234000
64236000,64236000
64237000,64237000
64238000,64238000
64239000,64239000
64241000,64241000
64242000,64242000
64251001,64251001
64251002,64251002
64251003,64251003
64251004,64251004
64251005,64251005
64251006,64251006
64251007,64251007
64261000,64261000
64262000,64262000
64263000,64263000
64268000,64268000
64271001,64271001
64271002,64271002
64271003,64271003
64272001,64272001
64272002,64272002
64273000,64273000
64274000,64274000
64275000,64275000
64252000,64252000
64281000,64281000
64291001,64291001
64282000,64282000
64292001,64292001
64292002,64292002
64293001,64293001
64294001,64294001
64294002,64294002
64293002,64293002
64294003,64294003
64294004,64294004
64294005,64294005
64294006,64294006
64294007,64294007
64294008,64294008
64294009,64294009
64294010,64294010
64294011,64294011
64294012,64294012
64294013,64294013
71110001,71110001
71110002,71110002
71110003,71110003
71110004,71110004
71110005,71110005
71110006,71110006
71110008,71110008
71121000,71121000
71122000,71122000
71131000,71131000
71132000,71132000
81110001,81110001
81110002,81110002
81110003,81110003
81110004,81110004
81110005,81110005
81110006,81110006
81110007,81110007
81110008,81110008
81121000,81121000
81122000,81122000
81123000,81123000
81131000,81131000
81132000,81132000
81133000,81133000
81134000,81134000
82110000,82110000
82120000,82120000
51511000,51511000
51521000,51521000
51522000,51522000
51523000,51523000
51531000,51531000
51532000,51532000
51181000,51181000
51182000,51182000
51183101,51183101
51183102,51183102
51183201,51183201
91515000,51511000
91635000,63512000
94200800,64293200
91641000,64131001
94200810,64293210
64271004,64271004
64291002,64291002
64294016,64294016
64239010,64239010
64241010,64241010
64272003,64272003
64221009,64221009
64223003,64221009
64294017,64294017
64232005,64232005
64274001,64274001
64274002,64274002
64222006,64222006
64274004,64274004
64233100,64233100
64222004,64222004
64274003,64274003