sap_account,descr
51121001,DT-GV
51121001,DT-GV
51121099,DT-GV
51123001,DT-GV
51123099,DT-GV
63211001,DT-GV
63211009,DT-GV
63211099,DT-GV
63219100,DT-GV
63251000,DT-GV
63252000,DT-GV
63253000,DT-GV
63254000,DT-GV
63255000,DT-GV
63257001,DT-GV
64111005,Act_Bonus
64211005,Act_Bonus
64211008,Re_Bonus
60030000,Clear
60040000,Clear
62111001,Clear
62112001,Clear
62118100,Clear
62119100,Clear
62121100,Clear
62121200,Clear
62121300,Clear
62211101,Clear
62211102,Clear
62211104,Clear
62211105,Clear
62212001,Clear
62212002,Clear
62212003,Clear
62212004,Clear
62213002,Clear
62214001,Clear
62711101,Clear
62711102,Clear
62711104,Clear
62711105,Clear
62712001,Clear
62712002,Clear
62712003,Clear
62712004,Clear
62713102,Clear
62722001,Clear
62722003,Clear
62723001,Clear
62723003,Clear
62724001,Clear
62724002,Clear
62731001,Clear
62731008,Clear
62731108,Clear
62732002,Clear
62734001,Clear
62741000,Clear
62743000,Clear
62761000,Clear
62762000,Clear
62771001,Clear
62771005,Clear
62771009,Clear
62780006,Clear
62780008,Clear
62780010,Clear
62780011,Clear
60020000,Clear
62211103,Clear
62211106,Clear
62213001,Clear
62711103,Clear
62711106,Clear
62713101,Clear
62771008,Clear
62771008,Clear
62211107,Clear
62211107,Clear
62711107,Clear
62711107,Clear
62711107,Clear
62711107,Clear
62711107,Clear
62216001,Clear
62732001,Clear
62734003,Clear
62763000,Clear
62722004,Clear
62722005,Clear
62723004,Clear
62724003,Clear
62731005,Clear
62732108,Clear
62741010,Clear
62780018,Clear
62213004,Clear