seg1,seg3,sales_group,salesgroup_name
"101","08","210","LAN_DOC"
"102","08","220","DNI_DOC"
"103","08","230","BDH_DOC"
"104","08","240","HNM_DOC"
"105","08","250","HYN_DOC"
"106","08","260","VLG_DOC"
"101","03","100_30","LAN_TTY"
"102","03","120_30","DNI_TTY"
"103","03","130_30","BDH_TTY"
"104","03","140_30","HNM_TTY"
"105","03","150_30","HYN_TTY"
"106","03","190_30","VLG_TTY"
"104","09","140_20","HNM_Thuy san"
"101","17","310","Aqua_Farm"
"101","18","310","Aqua_Farm"
"101","19","310","Aqua_Farm"
"101","20","310","Aqua_Farm"
"101","21","330","Biolab"
"101","22","330","Biolab"
"101","23","330","Biolab"
"101","24","320","TBCT"
"103","24","320","TBCT"
"101","15","290","Aqua_Food Local"
"101","25","290","Aqua_Food Local"
"101","14","280","Premix"
"101","13","290","Aqua_Food Export"
"106","13","290","Aqua_Food Export"
"101","02","110","Aqua_Feed"
"101","09","110","Aqua_Feed"
"104","02","140_20","HNM_Thuy san"
"104","11","180_140","Trading_Lao"
"101","11","180_180","Trading_CBD"
"101","01","100","Long An"
"101","07","100","Long An"
"101","12","100","Long An"
"102","00","120","Đồng Nai"
"102","01","120","Đồng Nai"
"102","07","120","Đồng Nai"
"102","12","120","Đồng Nai"
"103","00","130","Bình Định"
"103","01","130","Bình Định"
"103","02","130","Bình Định"
"103","07","130","Bình Định"
"103","12","130","Bình Định"
"104","00","140","Hà Nam"
"104","01","140_10","Hà Nam_GS"
"104","02","140_20","Hà Nam_TS"
"104","07","140_10","Hà Nam_GS"
"104","09","140_20","Hà Nam_TS"
"104","12","140_10","Hà Nam_GS"
"105","00","150","Hưng Yên"
"105","01","150","Hưng Yên"
"105","02","150","Hưng Yên"
"105","07","150","Hưng Yên"
"105","12","150","Hưng Yên"
"106","00","190","Vĩnh Long"
"106","01","190","Vĩnh Long"
"106","02","190","Vĩnh Long"
"106","07","190","Vĩnh Long"
"106","12","190","Vĩnh Long"