Ngành,BU,Description,Datetime,Budget
FeedVN,LAN,Net sales,Jan-23,169893116.153683
FeedVN,LAN,Net sales,Feb-23,170379806.690464
FeedVN,LAN,Net sales,Mar-23,185945786.968169
FeedVN,LAN,Net sales,Apr-23,190897886.556844
FeedVN,LAN,Net sales,May-23,189847869.524827
FeedVN,LAN,Net sales,Jun-23,195401768.217721
FeedVN,LAN,Net sales,Jul-23,202290649.739986
FeedVN,LAN,Net sales,Aug-23,212488237.905445
FeedVN,LAN,Net sales,Sep-23,218443999.802238
FeedVN,LAN,Net sales,Oct-23,221528345.958778
FeedVN,LAN,Net sales,Nov-23,223329771.330423
FeedVN,LAN,Net sales,Dec-23,227300426.749540
FeedVN,DNI,Net sales,Jan-23,267627921.217859
FeedVN,DNI,Net sales,Feb-23,257445168.591313
FeedVN,DNI,Net sales,Mar-23,288395025.930157
FeedVN,DNI,Net sales,Apr-23,301132889.937369
FeedVN,DNI,Net sales,May-23,305290277.089223
FeedVN,DNI,Net sales,Jun-23,310968681.228670
FeedVN,DNI,Net sales,Jul-23,323952151.537538
FeedVN,DNI,Net sales,Aug-23,334345295.298970
FeedVN,DNI,Net sales,Sep-23,333969790.627008
FeedVN,DNI,Net sales,Oct-23,338221843.099031
FeedVN,DNI,Net sales,Nov-23,349323635.145544
FeedVN,DNI,Net sales,Dec-23,350216652.214711
FeedVN,VLG,Net sales,Jan-23,112684443.176638
FeedVN,VLG,Net sales,Feb-23,109417408.940877
FeedVN,VLG,Net sales,Mar-23,118697664.887454
FeedVN,VLG,Net sales,Apr-23,125022026.474403
FeedVN,VLG,Net sales,May-23,128266846.600442
FeedVN,VLG,Net sales,Jun-23,129740055.591310
FeedVN,VLG,Net sales,Jul-23,124274342.107319
FeedVN,VLG,Net sales,Aug-23,127962398.336785
FeedVN,VLG,Net sales,Sep-23,129422853.149116
FeedVN,VLG,Net sales,Oct-23,140160262.957233
FeedVN,VLG,Net sales,Nov-23,140893388.457694
FeedVN,VLG,Net sales,Dec-23,144414822.087106
FeedVN,HYN,Net sales,Jan-23,173179696.370042
FeedVN,HYN,Net sales,Feb-23,153165995.587703
FeedVN,HYN,Net sales,Mar-23,167078556.112072
FeedVN,HYN,Net sales,Apr-23,179349927.167342
FeedVN,HYN,Net sales,May-23,179096426.252734
FeedVN,HYN,Net sales,Jun-23,183734525.324250
FeedVN,HYN,Net sales,Jul-23,189345826.230405
FeedVN,HYN,Net sales,Aug-23,192284902.961264
FeedVN,HYN,Net sales,Sep-23,197482128.872177
FeedVN,HYN,Net sales,Oct-23,202231400.886090
FeedVN,HYN,Net sales,Nov-23,204222027.671799
FeedVN,HYN,Net sales,Dec-23,209497214.534340
FeedVN,HNM,Net sales,Jan-23,140250362.184413
FeedVN,HNM,Net sales,Feb-23,147984240.329647
FeedVN,HNM,Net sales,Mar-23,159723370.362976
FeedVN,HNM,Net sales,Apr-23,164289426.902781
FeedVN,HNM,Net sales,May-23,177746989.765035
FeedVN,HNM,Net sales,Jun-23,183866921.258140
FeedVN,HNM,Net sales,Jul-23,196503075.212255
FeedVN,HNM,Net sales,Aug-23,207864280.794110
FeedVN,HNM,Net sales,Sep-23,211562111.880567
FeedVN,HNM,Net sales,Oct-23,219807897.992725
FeedVN,HNM,Net sales,Nov-23,222042878.517240
FeedVN,HNM,Net sales,Dec-23,222122835.204179
FeedVN,BDH,Net sales,Jan-23,327806825.244623
FeedVN,BDH,Net sales,Feb-23,306551519.127485
FeedVN,BDH,Net sales,Mar-23,345143004.749782
FeedVN,BDH,Net sales,Apr-23,350696980.403341
FeedVN,BDH,Net sales,May-23,367350401.731030
FeedVN,BDH,Net sales,Jun-23,381075729.515128
FeedVN,BDH,Net sales,Jul-23,382492958.177185
FeedVN,BDH,Net sales,Aug-23,400044632.087560
FeedVN,BDH,Net sales,Sep-23,403456331.465200
FeedVN,BDH,Net sales,Oct-23,397787640.485994
FeedVN,BDH,Net sales,Nov-23,410531143.326764
FeedVN,BDH,Net sales,Dec-23,419437694.645273
AquaFeed,AquaFeed,Net sales,Jan-23,343714311.725000
AquaFeed,AquaFeed,Net sales,Feb-23,338318490.597500
AquaFeed,AquaFeed,Net sales,Mar-23,364070496.450000
AquaFeed,AquaFeed,Net sales,Apr-23,385697592.987500
AquaFeed,AquaFeed,Net sales,May-23,383922009.360000
AquaFeed,AquaFeed,Net sales,Jun-23,398263800.185000
AquaFeed,AquaFeed,Net sales,Jul-23,390166091.120000
AquaFeed,AquaFeed,Net sales,Aug-23,386256433.995000
AquaFeed,AquaFeed,Net sales,Sep-23,401730530.245000
AquaFeed,AquaFeed,Net sales,Oct-23,403173496.587500
AquaFeed,AquaFeed,Net sales,Nov-23,392952009.357500
AquaFeed,AquaFeed,Net sales,Dec-23,396484578.110000
FeedOversea,CBD,Net sales,Jan-23,127595919.148021
FeedOversea,CBD,Net sales,Feb-23,129120122.272152
FeedOversea,CBD,Net sales,Mar-23,131744265.316522
FeedOversea,CBD,Net sales,Apr-23,135307925.781192
FeedOversea,CBD,Net sales,May-23,134628075.864299
FeedOversea,CBD,Net sales,Jun-23,135947154.255933
FeedOversea,CBD,Net sales,Jul-23,134462198.198736
FeedOversea,CBD,Net sales,Aug-23,134379490.321424
FeedOversea,CBD,Net sales,Sep-23,137004381.923084
FeedOversea,CBD,Net sales,Oct-23,136692838.610687
FeedOversea,CBD,Net sales,Nov-23,136170842.312221
FeedOversea,CBD,Net sales,Dec-23,136645324.531533
FeedOversea,MAM,Net sales,Jan-23,12475460.635753
FeedOversea,MAM,Net sales,Feb-23,11541382.600854
FeedOversea,MAM,Net sales,Mar-23,12767269.075763
FeedOversea,MAM,Net sales,Apr-23,11088904.722906
FeedOversea,MAM,Net sales,May-23,12179626.375677
FeedOversea,MAM,Net sales,Jun-23,12850241.958801
FeedOversea,MAM,Net sales,Jul-23,12232355.950109
FeedOversea,MAM,Net sales,Aug-23,11330326.704058
FeedOversea,MAM,Net sales,Sep-23,12500672.974374
FeedOversea,MAM,Net sales,Oct-23,13136865.459658
FeedOversea,MAM,Net sales,Nov-23,13693678.363304
FeedOversea,MAM,Net sales,Dec-23,14195283.040251
FeedOversea,LAO,Net sales,Jan-23,24599684.763212
FeedOversea,LAO,Net sales,Feb-23,25670352.074606
FeedOversea,LAO,Net sales,Mar-23,27951218.555438
FeedOversea,LAO,Net sales,Apr-23,29747712.565280
FeedOversea,LAO,Net sales,May-23,32239327.252486
FeedOversea,LAO,Net sales,Jun-23,34742418.619743
FeedOversea,LAO,Net sales,Jul-23,36452967.458672
FeedOversea,LAO,Net sales,Aug-23,36362606.522808
FeedOversea,LAO,Net sales,Sep-23,37634250.413688
FeedOversea,LAO,Net sales,Oct-23,39482895.083553
FeedOversea,LAO,Net sales,Nov-23,41708418.050929
FeedOversea,LAO,Net sales,Dec-23,45052622.833545