mvt_code,in_out,type
101,import,
102,import,
107,import,
109,import,
653,import,
654,import,
532,import,
901,import,
545,import,
544,import,
511,import,
122,export,
123,export,
161,export,
261,export,manufacturing
262,export,manufacturing
331,export,
333,export,
335,export,
531,export,
601,export,selling
602,export,selling
631,export,
633,export,selling
641,export,
642,export,
683,export,
P01,export,
S03,export,selling
S05,export,selling
Z01,export,
Z11,export,manufacturing
Z12,export,manufacturing
Z13,export,
Z17,export,
632,export,
S06,export,selling
551,export,
201,export,
Z15,export,
552,export,
543,export,
634,export,selling
241,export,
555,export,
556,export,
S04,export,selling
Z14,export,
Z18,export,
332,export,
Z02,export,
251,,manufacturing
252,,selling
S09,,selling
S10,,selling
S15,,selling