ph5_code,cate_code,cate_name
001,10,Pork
004,90,Others
101,90,Others
112,30,Processed Food
113,30,Processed Food
116,30,Processed Food
119,30,Processed Food
999,90,Others
109,90,Others
995,90,Others
998,90,Others
803,90,Others
002,90,Others
005,90,Others
124,90,Others
901,10,Pork
102,30,Processed Food
107,30,Processed Food
108,10,Pork
110,10,Pork
111,30,Processed Food
118,30,Processed Food
128,30,Processed Food
115,30,Processed Food
103,30,Processed Food
104,30,Processed Food
105,30,Processed Food
106,30,Processed Food
114,30,Processed Food
117,30,Processed Food
123,30,Processed Food
120,30,Processed Food
003,20,Chicken
701,90,Others
702,90,Others
781,90,Others
799,90,Others
125,90,Others
126,90,Others
127,90,Others
801,90,Others
802,90,Others
804,90,Others
006,90,Others
996,90,Others
997,90,Others