CODE,gl_account_from,gl_account_to,Excluded
111,11100000,11199999,
111,11200000,11299999,
111,11300000,11399999,
111,12111000,12111000,
111,12121000,12121000,
112,12811000,12811000,
112,12812000,12812000,
112,12813000,12813000,
112,12818000,12818000,
112,12819099,12819099,
112,12814000,12814000,
121,12100000,12199999,
122,22910000,22910000,
123,12881000,12881000,
131,13100000,13119999,
132,24218004,24218004,
132,33120000,33129999,
133,13600000,13699999,
134,13499999,13499999,
135,13599999,13599999,
136,14100000,14199999,
136,13851000,13887299,
136,13889100,13889999,
136,24411002,24419001,
136,24411001,24411001,X
137,22931001,22931001,
137,22931002,22931002,
137,22931003,22931003,
137,22931008,22931008,
137,22961000,22961000,
139,13811000,13811000,
139,13812000,13812000,
141,15100000,15199999,
141,15200000,15299999,
141,15300000,15399999,
141,15400000,15499999,
141,15500000,15599999,
141,15600000,15699999,
149,22941000,22941000,
149,22948000,22948000,
151,24210000,24219999,
151,24218004,24218004,X
152,13300000,13399999,
153,13887300,13887300,
153,13887400,13887400,
153,13887500,13887500,
153,13887800,13887800,
153,13887899,13887899,
154,15499999,15499999,
155,15599999,15599999,
211,21199999,21199999,
212,33146000,33146000,
213,21399999,21399999,
214,21499999,21499999,
215,21599999,21599999,
216,24420000,24429999,
216,24411001,24411001,
219,22932001,22932001,
219,22932002,22932002,
219,22932003,22932003,
219,22932008,22932008,
219,22962000,22962000,
222,21100000,21199999,
223,21410000,21419999,
225,21200000,21299999,
226,21420000,21429999,
228,21300000,21399999,
228,21382000,21382000,X
229,21430000,21439999,
231,23199999,23199999,
232,23299999,23299999,
241,24199999,24199999,
242,24110000,24139999,
251,22100000,22199999,
252,22200000,22299999,
253,22800000,22899999,
254,22921000,22921000,
254,22928000,22928000,
254,33560006,33560006,
254,22900002,22900002,
255,22599999,22599999,
255,12882000,12882000,
261,24220000,24229999,
262,24300000,24399999,
263,26399999,26399999,
268,26899999,26899999,
269,21382000,21382000,
311,33111100,33111100,
311,33111200,33111200,
311,33112000,33112000,
311,33113000,33113000,
311,33114000,33114000,
311,33115000,33115000,
311,33116000,33116000,
311,33116099,33116099,
311,33119000,33119000,
311,33119001,33119001,
311,33119099,33119099,
311,33191000,33191000,
311,33116100,33116100,
311,33112001,33112001,
311,33116001,33116001,
311,33116002,33116002,
311,33116003,33116003,
311,33116004,33116004,
311,33116005,33116005,
312,13120000,13129999,
313,33300000,33399999,
314,33400000,33499999,
315,33500000,33599999,
315,33550004,33550004,
315,33560006,33560006,X
316,33600000,33699999,
316,33611000,33611000,X
317,31799999,31799999,
318,33871000,33871000,
318,33872000,33872000,
319,33810000,33869999,
319,33881001,33881001,
319,33881002,33889999,
319,33881011,33881011,
319,34410000,34419999,
320,34111100,34111999,
320,34121000,34121999,
321,35241000,35241000,
321,35241100,35241100,
322,35300000,35399999,
323,32399999,32399999,
324,32499999,32499999,
331,33131000,33131000,
331,33141000,33141000,
331,33136000,33136000,
332,33299999,33299999,
333,33399999,33399999,
334,33611000,33611000,
335,33599999,33599999,
336,33699999,33699999,
337,34420000,34429999,
338,34112000,34112999,
338,34122000,34122999,
338,34311000,34319999,
339,33999999,33999999,
340,34099999,34099999,
341,34700000,34799999,
342,35220000,35220000,
342,35230000,35230000,
342,35242100,35242100,
343,34399999,34399999,
411a,41111000,41111000,
411b,41112000,41112000,
412,41121000,41121000,
413,41399999,41399999,
414,41181000,41181000,
415,41911000,41911000,
416,41210000,41210000,
416,41220000,41220000,
416,41230000,41230000,
417,41311000,41311000,
417,41321000,41321000,
418,41410000,41410000,
419,41999999,41999999,
420,41810000,41810000,
421a,42110000,42110000,
421b,51100000,51199999,
421b,52100000,52199999,
421b,63200000,63299999,
421b,62100000,62199999,
421b,62200000,62299999,
421b,62700000,62799999,
421b,64100000,64199999,
421b,64200000,64299999,
421b,51500000,51599999,
421b,63500000,63599999,
421b,71100000,71199999,
421b,81100000,81199999,
421b,82110000,82199999,
421b,99000000,99999999,
421b,42120000,42120000,
422,42299999,42299999,
429,41921000,41921000,
429,41922000,41922000,
431,43199999,43199999,
432,43299999,43299999,